CODIGO_DA_IES;NOME_DA_IES;SIGLA;CATEGORIA_DA_IES;COMUNITARIA;CONFESSIONAL;FILANTROPICA;ORGANIZACAO_ACADEMICA;CODIGO_MUNICIPIO_IBGE;MUNICIPIO;UF;SITUACAO_IES
18201;FACULDADE SENAC PALHOÇA - SENAC Palhoça;SENAC Palhoça;Privada;N;N;N;Faculdade;4211900.0;Palhoça;SC;Ativa
23168;Centro de Estudos Superiores de Jataí;;Privada;N;N;N;Faculdade;5211909.0;Jataí;GO;Ativa
1457;Faculdade Estácio de Cotia - Estacio Cotia;Estacio Cotia;Privada;N;N;N;Faculdade;3513009.0;Cotia;SP;Ativa
1174;FACULDADE DE SABARÁ - SOECS;SOECS;Privada;N;N;N;Faculdade;3156700.0;Sabará;MG;Ativa
14101;Faculdade Presidente Antônio Carlos de Baependi - FAPAC BAEPENDI;FAPAC BAEPENDI;Privada;N;N;N;Faculdade;3104908.0;Baependi;MG;Ativa
495;FACULDADE DE CIÊNCIAS E LETRAS DE BRAGANÇA PAULISTA - FESB;FESB;Pública;N;N;N;Faculdade;3507605.0;Bragança Paulista;SP;Ativa
610;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DO RIO DE JANEIRO - UNINASSAU;UNINASSAU;Privada;N;N;N;Centro Universitário;3304557.0;Rio de Janeiro;RJ;Ativa
1556;CENTRO UNIVERSITÁRIO SETE DE SETEMBRO - UNI7;UNI7;Privada;N;N;N;Centro Universitário;2304400.0;Fortaleza;CE;Ativa
664;UNIVERSIDADE VILA VELHA - UVV;UVV;Privada;N;N;N;Universidade;3205200.0;Vila Velha;ES;Ativa
4848;FACULDADE OBOÉ - FACO - FACO;FACO;Privada;N;N;N;Faculdade;2304400.0;Fortaleza;CE;Extinta
1718;CENTRO UNIVERSITÁRIO NOBRE DE FEIRA DE SANTANA;;Privada;N;N;N;Centro Universitário;2910800.0;Feira de Santana;BA;Ativa
25334;Faculdade Cidade Teológica Pentecostal - FCTP;FCTP;Privada;N;N;N;Faculdade;2304400.0;Fortaleza;CE;Ativa
25274;UNIVERSIDADE FEDERAL DE CATALÃO - UFCAT;UFCAT;Pública;N;N;N;Universidade;5205109.0;Catalão;GO;Ativa
3008;FACULDADE DO INSTITUTO NACIONAL DE PÓS-GRADUAÇÃO DE SÃO JOSÉ DOS CAMPOS - FACULDADE INPG - SJC;FACULDADE INPG - SJC;Privada;N;N;N;Faculdade;3549904.0;São José dos Campos;SP;Ativa
2870;FACULDADE SERRA DO CARMO - FASEC;FASEC;Privada;N;N;N;Faculdade;1721000.0;Palmas;TO;Ativa
23818;Instituto Superior da AFAC - ISAFAC;ISAFAC;Privada;N;N;N;Faculdade;3303302.0;Niterói;RJ;Ativa
1300;INSTITUTO TAQUARITINGUENSE DE ENSINO SUPERIOR DR. ARISTIDES DE CARVALHO SCHLOBACH - ITES;ITES;Privada;N;N;N;Faculdade;3553708.0;Taquaritinga;SP;Ativa
1597;FACULDADE SANTA FÉ - CESSF;CESSF;Privada;N;N;N;Faculdade;2111300.0;São Luís;MA;Ativa
1459;CENTRO UNIVERSITÁRIO MÁRIO PALMÉRIO - UNIFUCAMP;UNIFUCAMP;Privada;N;N;N;Centro Universitário;3143104.0;Monte Carmelo;MG;Ativa
18700;Faculdade AGES de Jeremoabo - AGES;AGES;Privada;N;N;N;Faculdade;2918100.0;Jeremoabo;BA;Extinta
137;CENTRO UNIVERSITÁRIO SAGRADO CORAÇÃO - UNISAGRADO;UNISAGRADO;Privada;N;S;N;Centro Universitário;3506003.0;Bauru;SP;Ativa
1411;FACULDADE DOIS DE JULHO - F2J;F2J;Privada;N;N;N;Faculdade;2927408.0;Salvador;BA;Ativa
1567;FACULDADE VIZINHANÇA VALE DO IGUAÇU - VIZIVALI;VIZIVALI;Pública;N;N;N;Faculdade;4107207.0;Dois Vizinhos;PR;Extinta
3034;Faculdade Anhanguera Unime de Salvador;;Privada;N;N;N;Faculdade;2927408.0;Salvador;BA;Ativa
4789;INSTITUTO CENTRO DE ENSINO TECNOLÓGICO - LIMOEIRO DO NORTE - CENTEC;CENTEC;Privada;N;N;N;Faculdade;2307601.0;Limoeiro do Norte;CE;Extinta
15753;FACULDADE DE TECNOLOGIA NILO DE STÉFANI - JABOTICABAL - FATEC JBL;FATEC JBL;Pública;N;N;N;Faculdade;3524303.0;Jaboticabal;SP;Ativa
2644;INSTITUTO DE EDUCAÇÃO SUPERIOR DO TAPAJÓS - ISET;ISET;Privada;N;N;N;Faculdade;1503606.0;Itaituba;PA;Extinta
